N = 200
325 0 0.76
325 1 0.81
325 2 1.71
25 0 0.66
25 1 0.71
25 2 1.56
225 0 0.81
225 1 0.76
225 2 1.61
425 0 0.61
425 1 1.01
425 2 1.71
126 0 0.66
126 1 0.71
126 2 1.66
326 0 0.81
326 1 0.81
326 2 1.71
26 0 0.66
26 1 0.71
26 2 1.51
226 0 0.61
226 1 1.01
226 2 1.61
426 0 0.76
426 1 0.76
426 2 1.66
127 0 0.66
127 1 0.71
127 2 1.61
327 0 0.76
327 1 0.76
327 2 1.66
27 0 0.76
27 1 0.81
27 2 1.61
227 0 0.81
227 1 0.76
227 2 1.76
427 0 0.66
427 1 0.71
427 2 1.66
128 0 0.71
128 1 0.66
128 2 1.71
328 0 0.76
328 1 1.11
328 2 1.81
28 0 0.76
28 1 0.76
28 2 1.71
228 0 0.81
228 1 0.76
228 2 1.61
428 0 0.76
428 1 1.11
428 2 1.66
329 0 0.81
329 1 0.81
329 2 1.51
29 0 0.76
29 1 0.76
29 2 1.66
129 0 0.76
129 1 0.81
129 2 1.76
229 0 0.76
229 1 0.76
229 2 1.61
429 0 0.76
429 1 0.76
429 2 1.66
30 0 0.66
30 1 0.71
30 2 1.61
130 0 0.76
130 1 1.16
130 2 1.76
330 0 0.81
330 1 0.76
330 2 1.71
230 0 0.66
230 1 1.01
230 2 1.71
430 0 0.76
430 1 0.81
430 2 1.71
31 0 0.81
31 1 1.11
31 2 1.61
331 0 0.76
331 1 1.11
331 2 1.61
131 0 0.61
131 1 1.01
131 2 1.61
231 0 0.71
231 1 0.66
231 2 1.66
431 0 0.61
431 1 1.01
431 2 1.71
32 0 0.66
32 1 0.76
32 2 1.66
332 0 0.81
332 1 0.76
332 2 1.71
132 0 0.76
132 1 1.11
132 2 1.71
432 0 0.76
432 1 0.81
432 2 1.66
232 0 0.81
232 1 0.76
232 2 1.76
333 0 0.66
333 1 0.71
333 2 1.66
33 0 0.56
33 1 0.66
33 2 1.61
133 0 0.76
133 1 0.76
133 2 1.71
433 0 0.76
433 1 1.16
433 2 1.71
233 0 0.71
233 1 0.66
233 2 1.66
334 0 0.71
334 1 0.66
334 2 1.61
34 0 0.76
34 1 1.11
34 2 1.66
134 0 0.76
134 1 0.81
134 2 1.66
434 0 0.56
434 1 0.91
434 2 1.56
234 0 0.66
234 1 0.71
234 2 1.61
335 0 0.76
335 1 0.76
335 2 1.61
35 0 0.81
35 1 0.81
35 2 1.66
135 0 0.76
135 1 1.11
135 2 1.71
435 0 0.76
435 1 0.81
435 2 1.56
235 0 0.66
235 1 0.71
235 2 1.61
336 0 0.81
336 1 0.76
336 2 1.66
36 0 0.61
36 1 1.01
36 2 1.66
136 0 0.81
136 1 0.81
136 2 1.71
436 0 0.66
436 1 0.71
436 2 1.71
236 0 0.71
236 1 0.66
236 2 1.66
337 0 0.66
337 1 1.01
337 2 1.51
37 0 0.66
37 1 0.71
37 2 1.61
137 0 0.76
137 1 0.81
137 2 1.71
437 0 0.81
437 1 1.06
437 2 1.66
237 0 0.81
237 1 0.81
237 2 1.66
338 0 0.76
338 1 0.76
338 2 1.71
38 0 0.61
38 1 1.01
38 2 1.66
138 0 0.61
138 1 0.61
138 2 1.66
438 0 0.76
438 1 1.11
438 2 1.71
238 0 0.81
238 1 0.76
238 2 1.71
339 0 0.66
339 1 0.71
339 2 1.71
39 0 0.76
39 1 0.76
39 2 1.61
139 0 0.71
139 1 0.66
139 2 1.61
439 0 0.81
439 1 0.76
439 2 1.71
239 0 0.81
239 1 1.11
239 2 1.61
340 0 0.81
340 1 0.76
340 2 1.61
40 0 0.81
40 1 0.76
40 2 1.61
140 0 0.71
140 1 0.66
140 2 1.56
440 0 0.76
440 1 0.81
440 2 1.66
240 0 0.81
240 1 0.76
240 2 1.66
341 0 0.76
341 1 0.76
341 2 1.66
41 0 0.81
41 1 0.76
41 2 1.71
141 0 0.66
141 1 0.71
141 2 1.56
441 0 0.76
441 1 1.11
441 2 1.66
241 0 0.66
241 1 0.71
241 2 1.71
342 0 0.66
342 1 0.71
342 2 1.61
42 0 0.71
42 1 0.66
42 2 1.66
142 0 0.76
142 1 1.11
142 2 1.76
442 0 0.76
442 1 1.11
442 2 1.66
242 0 0.66
242 1 0.71
242 2 1.61
343 0 0.66
343 1 0.71
343 2 1.66
43 0 0.66
43 1 0.71
43 2 1.66
143 0 0.66
143 1 1.01
143 2 1.66
443 0 0.81
443 1 0.81
443 2 1.61
243 0 0.76
243 1 1.11
243 2 1.66
344 0 0.76
344 1 1.11
344 2 1.66
44 0 0.66
44 1 0.71
44 2 1.61
144 0 0.81
144 1 1.11
144 2 1.66
444 0 0.81
444 1 1.11
444 2 1.71
244 0 0.81
244 1 0.81
244 2 1.66
345 0 0.76
345 1 0.76
345 2 1.66
45 0 0.66
45 1 1.01
45 2 1.61
145 0 0.76
145 1 0.81
145 2 1.66
445 0 0.66
445 1 0.71
445 2 1.66
245 0 0.81
245 1 0.76
245 2 1.66
346 0 0.81
346 1 1.11
346 2 1.66
46 0 0.76
46 1 1.11
46 2 1.61
146 0 0.76
146 1 0.81
146 2 1.61
446 0 0.76
446 1 1.11
446 2 1.61
246 0 0.81
246 1 0.76
246 2 1.66
347 0 0.61
347 1 1.01
347 2 1.66
47 0 0.61
47 1 1.01
47 2 1.71
147 0 0.81
147 1 0.76
147 2 1.66
447 0 0.61
447 1 1.01
447 2 1.71
247 0 0.76
247 1 0.76
247 2 1.61
348 0 0.76
348 1 0.81
348 2 1.66
48 0 0.81
48 1 1.11
48 2 1.66
148 0 0.56
148 1 0.66
148 2 1.61
448 0 0.81
448 1 0.76
448 2 1.61
248 0 0.76
248 1 0.81
248 2 1.71
349 0 0.76
349 1 1.11
349 2 1.71
49 0 0.66
49 1 0.71
49 2 1.66
149 0 0.76
149 1 0.76
149 2 1.61
449 0 0.66
449 1 0.71
449 2 1.66
249 0 0.76
249 1 1.11
249 2 1.66
350 0 0.76
350 1 0.81
350 2 1.61
50 0 0.76
50 1 0.81
50 2 1.66
150 0 0.76
150 1 0.81
150 2 1.76
450 0 0.66
450 1 1.01
450 2 1.71
250 0 0.76
250 1 0.81
250 2 1.66
351 0 0.76
351 1 0.81
351 2 1.61
51 0 0.56
51 1 0.66
51 2 1.71
151 0 0.66
151 1 0.71
151 2 1.71
451 0 0.76
451 1 1.16
451 2 1.61
251 0 0.81
251 1 0.81
251 2 1.66
352 0 0.81
352 1 0.81
352 2 1.71
52 0 0.81
52 1 1.11
52 2 1.66
152 0 0.81
152 1 0.81
152 2 1.66
452 0 0.81
452 1 0.76
452 2 1.66
252 0 0.76
252 1 0.76
252 2 1.71
353 0 0.51
353 1 0.56
353 2 1.61
53 0 0.76
53 1 1.11
53 2 1.71
153 0 0.81
153 1 0.76
153 2 1.71
453 0 0.76
453 1 1.11
453 2 1.61
253 0 0.81
253 1 1.11
253 2 1.71
354 0 0.81
354 1 1.11
354 2 1.61
54 0 0.76
54 1 0.81
54 2 1.66
154 0 0.66
154 1 0.71
154 2 1.81
454 0 0.71
454 1 0.66
454 2 1.66
254 0 0.61
254 1 0.61
254 2 1.56
355 0 0.66
355 1 0.71
355 2 1.66
55 0 0.76
55 1 1.11
55 2 1.71
155 0 0.66
155 1 0.71
155 2 1.61
455 0 0.81
455 1 0.81
455 2 1.66
255 0 0.61
255 1 0.61
255 2 1.71
356 0 0.76
356 1 0.76
356 2 1.66
56 0 0.81
56 1 1.06
56 2 1.61
156 0 0.66
156 1 0.76
156 2 1.66
456 0 0.76
456 1 1.11
456 2 1.61
256 0 0.81
256 1 0.76
256 2 1.66
357 0 0.76
357 1 0.76
357 2 1.66
57 0 0.76
57 1 1.11
57 2 1.66
157 0 0.76
157 1 0.76
157 2 1.66
457 0 0.66
457 1 0.71
457 2 1.76
257 0 0.81
257 1 0.81
257 2 1.61
358 0 0.81
358 1 0.76
358 2 1.61
58 0 0.81
58 1 0.76
58 2 1.66
158 0 0.76
158 1 0.76
158 2 1.66
458 0 0.81
458 1 0.81
458 2 1.66
258 0 0.76
258 1 1.11
258 2 1.61
359 0 0.76
359 1 0.81
359 2 1.71
59 0 0.76
59 1 0.81
59 2 1.61
159 0 0.66
159 1 0.71
159 2 1.66
459 0 0.76
459 1 0.81
459 2 1.56
259 0 0.76
259 1 0.76
259 2 1.71
360 0 0.66
360 1 0.76
360 2 1.66
60 0 0.76
60 1 1.11
60 2 1.61
160 0 0.76
160 1 0.81
160 2 1.61
460 0 0.76
460 1 0.81
460 2 1.61
260 0 0.76
260 1 1.11
260 2 1.76
361 0 0.61
361 1 0.71
361 2 1.71
61 0 0.81
61 1 0.81
61 2 1.56
161 0 0.76
161 1 1.16
161 2 1.61
461 0 0.76
461 1 0.81
461 2 1.71
261 0 0.56
261 1 0.91
261 2 1.66
62 0 0.71
62 1 0.66
62 2 1.61
362 0 0.76
362 1 0.76
362 2 1.66
162 0 0.66
162 1 0.71
162 2 1.66
462 0 0.81
462 1 0.81
462 2 1.66
262 0 0.76
262 1 1.11
262 2 1.71
63 0 0.56
63 1 0.66
63 2 1.66
363 0 0.76
363 1 1.11
363 2 1.61
163 0 0.76
163 1 0.76
163 2 1.66
463 0 0.66
463 1 0.71
463 2 1.66
263 0 0.76
263 1 1.11
263 2 1.66
64 0 0.61
64 1 0.61
64 2 1.56
364 0 0.81
364 1 1.11
364 2 1.61
164 0 0.66
164 1 0.71
164 2 1.66
464 0 0.71
464 1 0.66
464 2 1.56
264 0 0.81
264 1 0.81
264 2 1.56
65 0 0.76
65 1 1.11
65 2 1.66
365 0 0.76
365 1 0.76
365 2 1.71
165 0 0.81
165 1 1.11
165 2 1.61
465 0 0.76
465 1 0.76
465 2 1.71
265 0 0.81
265 1 0.76
265 2 1.66
66 0 0.81
66 1 0.81
66 2 1.61
366 0 0.61
366 1 1.01
366 2 1.66
166 0 0.66
166 1 1.01
166 2 1.71
466 0 0.76
466 1 1.11
466 2 1.71
266 0 0.76
266 1 0.66
266 2 1.61
67 0 0.81
67 1 1.11
67 2 1.61
367 0 0.71
367 1 0.66
367 2 1.66
167 0 0.76
167 1 1.11
167 2 1.66
467 0 0.76
467 1 1.11
467 2 1.66
267 0 0.61
267 1 0.61
267 2 1.66
68 0 0.76
68 1 0.81
68 2 1.56
368 0 0.76
368 1 0.81
368 2 1.66
168 0 0.76
168 1 1.11
168 2 1.71
468 0 0.76
468 1 0.81
468 2 1.61
268 0 0.76
268 1 0.81
268 2 1.66
69 0 0.71
69 1 0.66
69 2 1.61
369 0 0.76
369 1 1.11
369 2 1.66
169 0 0.61
169 1 0.71
169 2 1.71
469 0 0.81
469 1 0.81
469 2 1.66
269 0 0.81
269 1 0.81
269 2 1.71
70 0 0.76
70 1 1.11
70 2 1.61
370 0 0.76
370 1 0.81
370 2 1.71
170 0 0.81
170 1 0.76
170 2 1.71
470 0 0.76
470 1 0.81
470 2 1.76
270 0 0.81
270 1 0.81
270 2 1.66
71 0 0.66
71 1 0.71
71 2 1.71
