N = 500
143 0 0.76
143 1 1.11
143 2 1.61
97 0 0.66
97 1 0.71
97 2 1.71
189 0 0.56
189 1 0.91
189 2 1.56
5 0 0.76
5 1 0.76
5 2 1.66
465 0 0.76
465 1 0.81
465 2 1.71
281 0 0.81
281 1 0.76
281 2 1.71
489 0 0.76
489 1 0.81
489 2 1.61
259 0 0.76
259 1 0.76
259 2 1.61
397 0 0.81
397 1 0.76
397 2 1.66
328 0 0.61
328 1 1.01
328 2 1.66
443 0 0.81
443 1 0.81
443 2 1.71
167 0 0.76
167 1 1.11
167 2 1.61
29 0 0.81
29 1 0.81
29 2 1.66
213 0 0.76
213 1 0.81
213 2 1.61
420 0 0.81
420 1 0.81
420 2 1.61
121 0 0.61
121 1 0.61
121 2 1.61
351 0 0.76
351 1 1.11
351 2 1.61
305 0 0.76
305 1 1.16
305 2 1.66
75 0 0.61
75 1 0.71
75 2 1.56
236 0 0.81
236 1 0.76
236 2 1.66
52 0 0.66
52 1 1.01
52 2 1.66
466 0 0.71
466 1 0.66
466 2 1.61
374 0 0.81
374 1 1.11
374 2 1.66
98 0 0.56
98 1 0.71
98 2 1.66
6 0 0.76
6 1 1.11
6 2 1.66
190 0 0.66
190 1 0.71
190 2 1.66
144 0 0.66
144 1 0.71
144 2 1.66
282 0 0.76
282 1 0.76
282 2 1.66
490 0 0.61
490 1 1.01
490 2 1.61
444 0 0.71
444 1 0.66
444 2 1.61
214 0 0.61
214 1 1.01
214 2 1.66
329 0 0.76
329 1 1.11
329 2 1.61
421 0 0.76
421 1 0.81
421 2 1.66
260 0 0.81
260 1 0.81
260 2 1.71
306 0 0.81
306 1 0.76
306 2 1.61
30 0 0.81
30 1 0.81
30 2 1.66
122 0 0.71
122 1 0.66
122 2 1.61
168 0 0.71
168 1 0.66
168 2 1.71
237 0 0.76
237 1 0.81
237 2 1.61
76 0 0.66
76 1 0.71
76 2 1.61
398 0 0.81
398 1 0.76
398 2 1.66
352 0 0.71
352 1 0.66
352 2 1.71
467 0 0.66
467 1 1.01
467 2 1.71
53 0 0.81
53 1 1.11
53 2 1.71
375 0 0.76
375 1 0.76
375 2 1.66
191 0 0.76
191 1 0.76
191 2 1.66
99 0 0.76
99 1 0.76
99 2 1.61
7 0 0.81
7 1 1.11
7 2 1.61
145 0 0.81
145 1 0.81
145 2 1.66
283 0 0.76
283 1 0.76
283 2 1.61
491 0 0.76
491 1 0.76
491 2 1.66
445 0 0.76
445 1 1.11
445 2 1.61
215 0 0.81
215 1 0.76
215 2 1.66
422 0 0.81
422 1 1.16
422 2 1.66
169 0 0.66
169 1 0.71
169 2 1.61
330 0 0.81
330 1 0.81
330 2 1.61
261 0 0.66
261 1 0.71
261 2 1.66
31 0 0.76
31 1 0.81
31 2 1.56
307 0 0.76
307 1 0.66
307 2 1.76
123 0 0.76
123 1 0.81
123 2 1.66
238 0 0.66
238 1 0.71
238 2 1.66
77 0 0.81
77 1 0.76
77 2 1.66
192 0 0.76
192 1 1.11
192 2 1.61
54 0 0.61
54 1 0.71
54 2 1.66
399 0 0.76
399 1 1.11
399 2 1.66
353 0 0.66
353 1 1.01
353 2 1.66
468 0 0.76
468 1 1.11
468 2 1.66
100 0 0.76
100 1 0.81
100 2 1.66
376 0 0.81
376 1 1.11
376 2 1.66
8 0 0.81
8 1 0.76
8 2 1.61
284 0 0.81
284 1 0.81
284 2 1.66
146 0 0.66
146 1 0.71
146 2 1.66
492 0 0.81
492 1 0.76
492 2 1.61
446 0 0.76
446 1 1.11
446 2 1.66
216 0 0.76
216 1 0.81
216 2 1.66
170 0 0.66
170 1 0.71
170 2 1.61
262 0 0.66
262 1 0.71
262 2 1.66
423 0 0.66
423 1 0.71
423 2 1.71
32 0 0.66
32 1 0.71
32 2 1.66
331 0 0.66
331 1 0.71
331 2 1.66
239 0 0.76
239 1 0.76
239 2 1.66
308 0 0.66
308 1 0.71
308 2 1.66
78 0 0.76
78 1 0.81
78 2 1.61
354 0 0.66
354 1 1.01
354 2 1.61
124 0 0.76
124 1 0.76
124 2 1.71
101 0 0.81
101 1 0.76
101 2 1.61
193 0 0.66
193 1 0.71
193 2 1.61
400 0 0.76
400 1 0.81
400 2 1.66
469 0 0.76
469 1 1.11
469 2 1.66
55 0 0.61
55 1 1.01
55 2 1.66
377 0 0.76
377 1 1.11
377 2 1.66
9 0 0.71
9 1 1.11
9 2 1.71
285 0 0.71
285 1 0.66
285 2 1.61
147 0 0.76
147 1 0.81
147 2 1.66
493 0 0.76
493 1 0.76
493 2 1.71
424 0 0.66
424 1 1.01
424 2 1.56
447 0 0.76
447 1 1.11
447 2 1.66
263 0 0.81
263 1 0.81
263 2 1.66
217 0 0.71
217 1 0.61
217 2 1.66
171 0 0.76
171 1 1.11
171 2 1.66
33 0 0.66
33 1 0.71
33 2 1.66
332 0 0.76
332 1 0.76
332 2 1.66
355 0 0.81
355 1 0.76
355 2 1.66
309 0 0.76
309 1 0.81
309 2 1.66
79 0 0.81
79 1 1.11
79 2 1.66
125 0 0.76
125 1 1.11
125 2 1.66
240 0 0.76
240 1 1.11
240 2 1.71
194 0 0.66
194 1 0.71
194 2 1.61
56 0 0.61
56 1 1.01
56 2 1.71
401 0 0.76
401 1 0.76
401 2 1.66
470 0 0.81
470 1 0.76
470 2 1.66
102 0 0.76
102 1 0.81
102 2 1.61
378 0 0.81
378 1 0.76
378 2 1.61
10 0 0.76
10 1 0.81
10 2 1.61
148 0 0.66
148 1 0.71
148 2 1.61
286 0 0.66
286 1 0.71
286 2 1.71
494 0 0.56
494 1 0.71
494 2 1.61
34 0 0.66
34 1 0.71
34 2 1.51
218 0 0.76
218 1 0.81
218 2 1.61
264 0 0.61
264 1 1.01
264 2 1.66
425 0 0.76
425 1 1.11
425 2 1.71
448 0 0.76
448 1 1.11
448 2 1.71
333 0 0.81
333 1 0.76
333 2 1.66
172 0 0.76
172 1 1.11
172 2 1.61
126 0 0.66
126 1 0.71
126 2 1.61
356 0 0.66
356 1 1.01
356 2 1.61
471 0 0.81
471 1 0.76
471 2 1.61
57 0 0.66
57 1 0.71
57 2 1.66
195 0 0.81
195 1 1.11
195 2 1.71
80 0 0.81
80 1 0.76
80 2 1.66
241 0 0.81
241 1 0.76
241 2 1.66
310 0 0.71
310 1 0.66
310 2 1.71
402 0 0.81
402 1 1.11
402 2 1.66
379 0 0.71
379 1 0.66
379 2 1.61
103 0 0.81
103 1 0.76
103 2 1.66
11 0 0.56
11 1 0.61
11 2 1.56
149 0 0.66
149 1 0.71
149 2 1.71
287 0 0.61
287 1 1.01
287 2 1.71
265 0 0.61
265 1 1.01
265 2 1.61
495 0 0.76
495 1 1.11
495 2 1.66
35 0 0.81
35 1 0.81
35 2 1.66
449 0 0.61
449 1 1.01
449 2 1.66
219 0 0.76
219 1 1.11
219 2 1.66
334 0 0.66
334 1 0.71
334 2 1.66
173 0 0.66
173 1 0.71
173 2 1.61
426 0 0.61
426 1 1.01
426 2 1.66
196 0 0.66
196 1 0.71
196 2 1.56
311 0 0.76
311 1 0.76
311 2 1.61
403 0 0.81
403 1 0.76
403 2 1.66
357 0 0.81
357 1 0.81
357 2 1.66
127 0 0.66
127 1 0.71
127 2 1.66
472 0 0.76
472 1 0.81
472 2 1.61
58 0 0.81
58 1 0.76
58 2 1.66
81 0 0.81
81 1 0.76
81 2 1.71
104 0 0.76
104 1 0.81
104 2 1.66
380 0 0.76
380 1 0.81
380 2 1.66
242 0 0.56
242 1 0.66
242 2 1.61
12 0 0.81
12 1 1.11
12 2 1.66
288 0 0.66
288 1 0.71
288 2 1.66
150 0 0.76
150 1 1.11
150 2 1.71
266 0 0.66
266 1 1.01
266 2 1.66
496 0 0.81
496 1 0.81
496 2 1.61
36 0 0.66
36 1 0.71
36 2 1.61
220 0 0.66
220 1 1.01
220 2 1.61
335 0 0.56
335 1 0.66
335 2 1.66
174 0 0.76
174 1 1.16
174 2 1.66
450 0 0.76
450 1 1.11
450 2 1.66
427 0 0.66
427 1 0.71
427 2 1.66
197 0 0.61
197 1 1.01
197 2 1.66
404 0 0.66
404 1 1.01
404 2 1.66
312 0 0.81
312 1 0.81
312 2 1.61
358 0 0.76
358 1 1.11
358 2 1.66
105 0 0.76
105 1 0.76
105 2 1.66
473 0 0.61
473 1 1.01
473 2 1.61
128 0 0.81
128 1 0.76
128 2 1.71
59 0 0.76
59 1 0.81
59 2 1.66
381 0 0.76
381 1 1.11
381 2 1.71
13 0 0.76
13 1 1.11
13 2 1.61
82 0 0.81
82 1 0.76
82 2 1.66
243 0 0.81
243 1 0.76
243 2 1.71
289 0 0.76
289 1 1.11
289 2 1.66
151 0 0.81
151 1 0.81
151 2 1.71
37 0 0.76
37 1 1.11
37 2 1.61
267 0 0.76
267 1 0.81
267 2 1.66
497 0 0.56
497 1 0.91
497 2 1.61
428 0 0.71
428 1 0.66
428 2 1.61
451 0 0.76
451 1 1.11
451 2 1.61
405 0 0.81
405 1 0.76
405 2 1.56
175 0 0.76
175 1 0.76
175 2 1.61
336 0 0.66
336 1 0.71
336 2 1.61
221 0 0.61
221 1 1.01
221 2 1.66
198 0 0.76
198 1 1.11
198 2 1.66
106 0 0.71
106 1 0.66
106 2 1.66
359 0 0.76
359 1 1.11
359 2 1.66
313 0 0.66
313 1 0.71
313 2 1.66
474 0 0.61
474 1 1.01
474 2 1.61
83 0 0.81
83 1 0.76
83 2 1.66
382 0 0.76
382 1 0.81
382 2 1.66
129 0 0.71
129 1 0.61
129 2 1.66
60 0 0.76
60 1 0.81
60 2 1.61
14 0 0.71
14 1 0.66
14 2 1.61
244 0 0.76
244 1 1.11
244 2 1.61
290 0 0.61
290 1 0.96
290 2 1.61
152 0 0.66
152 1 1.01
152 2 1.56
268 0 0.71
268 1 0.66
268 2 1.56
498 0 0.76
498 1 0.76
498 2 1.61
38 0 0.76
38 1 1.11
38 2 1.61
429 0 0.66
429 1 0.71
429 2 1.61
452 0 0.76
452 1 0.81
452 2 1.61
337 0 0.76
337 1 1.11
337 2 1.61
176 0 0.76
176 1 0.76
176 2 1.66
406 0 0.66
406 1 0.71
406 2 1.76
222 0 0.76
222 1 0.81
222 2 1.71
314 0 0.76
314 1 1.11
314 2 1.66
107 0 0.81
107 1 1.16
107 2 1.71
84 0 0.76
84 1 1.11
84 2 1.66
475 0 0.81
475 1 0.76
475 2 1.66
199 0 0.76
199 1 0.76
199 2 1.66
130 0 0.81
130 1 0.76
130 2 1.66
61 0 0.76
61 1 1.11
61 2 1.71
15 0 0.81
15 1 0.81
15 2 1.61
383 0 0.81
383 1 0.81
383 2 1.61
245 0 0.76
245 1 1.11
245 2 1.61
360 0 0.81
360 1 1.11
360 2 1.71
291 0 0.76
291 1 0.81
291 2 1.71
153 0 0.56
153 1 0.66
153 2 1.61
269 0 0.66
269 1 0.71
269 2 1.66
499 0 0.81
499 1 0.81
499 2 1.61
39 0 0.61
39 1 1.01
39 2 1.66
453 0 0.76
453 1 0.81
453 2 1.66
430 0 0.61
430 1 1.01
430 2 1.66
108 0 0.61
108 1 1.01
108 2 1.56
338 0 0.81
338 1 0.76
338 2 1.66
407 0 0.61
407 1 1.01
407 2 1.66
177 0 0.66
177 1 0.71
177 2 1.71
223 0 0.81
223 1 0.76
223 2 1.61
315 0 0.66
315 1 0.71
315 2 1.66
85 0 0.81
85 1 0.76
85 2 1.61
16 0 0.66
16 1 0.71
16 2 1.61
361 0 0.76
361 1 0.76
361 2 1.61
476 0 0.66
476 1 1.01
476 2 1.71
62 0 0.66
62 1 0.71
62 2 1.66
384 0 0.81
384 1 0.76
384 2 1.66
131 0 0.76
131 1 1.11
131 2 1.66
200 0 0.76
200 1 0.76
200 2 1.71
246 0 0.81
246 1 1.11
246 2 1.66
292 0 0.61
292 1 1.01
292 2 1.66
154 0 0.61
154 1 1.01
154 2 1.61
270 0 0.61
270 1 1.01
270 2 1.66
40 0 0.81
40 1 0.76
40 2 1.61
500 0 0.71
500 1 0.66
500 2 1.71
431 0 0.76
431 1 1.11
431 2 1.71
109 0 0.81
109 1 1.11
109 2 1.71
408 0 0.81
408 1 1.11
408 2 1.66
224 0 0.66
224 1 1.01
224 2 1.66
454 0 0.71
454 1 0.66
454 2 1.71
86 0 0.76
86 1 1.11
86 2 1.66
339 0 0.66
339 1 1.01
339 2 1.66
178 0 0.76
178 1 1.11
178 2 1.66
316 0 0.61
316 1 0.61
316 2 1.61
17 0 0.66
17 1 0.71
17 2 1.66
63 0 0.71
63 1 0.66
63 2 1.61
477 0 0.81
477 1 0.76
477 2 1.66
362 0 0.61
362 1 0.71
362 2 1.66
247 0 0.66
247 1 0.71
247 2 1.71
385 0 0.81
385 1 0.76
385 2 1.71
132 0 0.81
132 1 0.76
132 2 1.61
201 0 0.81
201 1 1.11
201 2 1.71
293 0 0.61
293 1 1.01
293 2 1.71
155 0 0.76
155 1 1.11
155 2 1.66
271 0 0.81
271 1 0.81
271 2 1.66
41 0 0.76
41 1 0.76
41 2 1.61
501 0 0.66
501 1 0.71
501 2 1.71
432 0 0.76
432 1 0.76
432 2 1.66
455 0 0.81
455 1 0.76
455 2 1.56
409 0 0.56
409 1 0.91
409 2 1.66
317 0 0.66
317 1 0.56
317 2 1.56
87 0 0.76
87 1 0.76
87 2 1.56
110 0 0.61
110 1 1.01
110 2 1.66
340 0 0.66
340 1 0.71
340 2 1.66
225 0 0.76
225 1 0.81
225 2 1.66
179 0 0.76
179 1 1.11
179 2 1.66
478 0 0.61
478 1 0.71
478 2 1.61
18 0 0.81
18 1 0.76
18 2 1.71
363 0 0.81
363 1 1.11
363 2 1.66
64 0 0.76
64 1 0.81
64 2 1.66
248 0 0.66
248 1 0.71
248 2 1.66
133 0 0.61
133 1 1.01
133 2 1.66
202 0 0.81
202 1 0.81
202 2 1.66
386 0 0.71
386 1 0.66
386 2 1.61
294 0 0.71
294 1 0.66
294 2 1.61
156 0 0.56
156 1 0.66
156 2 1.66
272 0 0.81
272 1 0.76
272 2 1.61
42 0 0.81
42 1 1.11
42 2 1.71
502 0 0.76
502 1 1.16
502 2 1.66
456 0 0.76
456 1 0.81
456 2 1.66
433 0 0.76
433 1 0.81
433 2 1.71
180 0 0.71
180 1 0.66
180 2 1.61
410 0 0.76
410 1 0.76
410 2 1.66
88 0 0.66
88 1 0.71
88 2 1.66
111 0 0.81
111 1 0.81
111 2 1.61
318 0 0.76
318 1 1.11
318 2 1.71
226 0 0.66
226 1 0.71
226 2 1.71
341 0 0.71
341 1 0.66
341 2 1.66
364 0 0.76
364 1 0.81
364 2 1.61
479 0 0.81
479 1 0.81
479 2 1.66
249 0 0.81
249 1 0.76
249 2 1.66
19 0 0.76
19 1 1.11
19 2 1.66
134 0 0.76
134 1 0.81
134 2 1.61
203 0 0.76
203 1 0.81
203 2 1.71
387 0 0.66
387 1 0.76
387 2 1.71
65 0 0.81
65 1 1.11
65 2 1.66
295 0 0.66
295 1 0.71
295 2 1.61
157 0 0.56
157 1 0.66
157 2 1.61
273 0 0.81
273 1 1.11
273 2 1.66
43 0 0.66
43 1 0.71
43 2 1.56
503 0 0.81
503 1 0.76
503 2 1.61
457 0 0.56
457 1 0.66
457 2 1.61
181 0 0.76
181 1 0.81
181 2 1.56
112 0 0.76
112 1 1.11
112 2 1.61
89 0 0.81
89 1 0.76
89 2 1.66
434 0 0.71
434 1 0.66
434 2 1.71
342 0 0.71
342 1 0.66
342 2 1.61
411 0 0.81
411 1 0.76
411 2 1.66
250 0 0.76
250 1 1.11
250 2 1.56
227 0 0.76
227 1 0.76
227 2 1.66
480 0 0.76
480 1 0.81
480 2 1.66
319 0 0.81
319 1 1.11
319 2 1.61
20 0 0.81
20 1 0.76
20 2 1.61
365 0 0.66
365 1 0.71
365 2 1.66
388 0 0.76
388 1 1.11
388 2 1.61
135 0 0.66
135 1 0.71
135 2 1.66
204 0 0.61
204 1 1.01
204 2 1.66
66 0 0.76
66 1 1.11
66 2 1.66
296 0 0.81
296 1 0.76
296 2 1.61
158 0 0.76
158 1 0.76
158 2 1.66
274 0 0.81
274 1 0.81
274 2 1.66
504 0 0.56
504 1 0.91
504 2 1.66
44 0 0.66
44 1 0.71
44 2 1.66
182 0 0.76
182 1 1.11
182 2 1.66
113 0 0.66
113 1 0.71
113 2 1.66
458 0 0.76
458 1 0.81
458 2 1.71
90 0 0.56
90 1 0.91
90 2 1.66
343 0 0.71
343 1 0.66
343 2 1.66
481 0 0.66
481 1 0.71
481 2 1.66
228 0 0.76
228 1 0.81
228 2 1.61
435 0 0.81
435 1 0.81
435 2 1.66
412 0 0.81
412 1 0.81
412 2 1.66
320 0 0.61
320 1 1.01
320 2 1.61
251 0 0.66
251 1 0.71
251 2 1.66
205 0 0.66
205 1 0.71
205 2 1.61
21 0 0.76
21 1 1.11
21 2 1.66
389 0 0.56
389 1 0.91
389 2 1.71
136 0 0.76
136 1 1.11
136 2 1.66
366 0 0.61
366 1 1.01
366 2 1.66
297 0 0.76
297 1 1.16
297 2 1.61
67 0 0.81
67 1 1.16
67 2 1.66
159 0 0.81
159 1 1.11
159 2 1.61
505 0 0.81
505 1 0.81
505 2 1.61
275 0 0.76
275 1 1.11
275 2 1.66
45 0 0.71
45 1 0.66
45 2 1.66
183 0 0.76
183 1 0.81
183 2 1.66
114 0 0.76
114 1 0.76
114 2 1.71
436 0 0.76
436 1 1.11
436 2 1.61
344 0 0.66
344 1 0.71
344 2 1.61
91 0 0.71
91 1 0.66
91 2 1.61
459 0 0.81
459 1 0.76
459 2 1.66
229 0 0.81
229 1 0.76
229 2 1.66
321 0 0.61
321 1 0.61
321 2 1.66
413 0 0.81
413 1 0.81
413 2 1.61
206 0 0.66
206 1 0.71
206 2 1.56
482 0 0.76
482 1 0.81
482 2 1.66
22 0 0.56
22 1 0.91
22 2 1.61
252 0 0.81
252 1 0.76
252 2 1.71
137 0 0.76
137 1 1.11
137 2 1.61
367 0 0.76
367 1 0.76
367 2 1.66
298 0 0.81
298 1 0.81
298 2 1.66
390 0 0.76
390 1 0.81
390 2 1.66
68 0 0.76
68 1 1.11
68 2 1.66
160 0 0.76
160 1 1.11
160 2 1.66
